,kingdom,phylum,class,order,family,genus,species,locality,stateProvince,lat,lng,elevation,day,month,year,taxonKey,ScientificName,VernacularNames
0,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma yagouaroundi,<p>Camino acceso al Destacamento Estero Poi</p>,Formosa,-25.12069,-58.18679,0.0,19.0,9.0,2006.0,2435146,Puma yagouaroundi,Jaguarondi Jaguarundi Yaguarundi
1,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma yagouaroundi,<p>Destacamento de Laguna Blanca</p>,Formosa,-25.17201,-58.13073,0.0,20.0,9.0,2006.0,2435146,Puma yagouaroundi,Jaguarondi Jaguarundi Yaguarundi
2,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma yagouaroundi,<p>P.N. El Palmar.</p>,Entre Ríos,-31.88614,-58.30839,24.0,8.0,9.0,2006.0,2435146,Puma yagouaroundi,Jaguarondi Jaguarundi Yaguarundi
3,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma yagouaroundi,"<p> RP Nº 86, Potrero Nº 15</p>",Corrientes,-28.04421,-58.12875,69.0,29.0,11.0,2010.0,2435146,Puma yagouaroundi,Jaguarondi Jaguarundi Yaguarundi
4,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma yagouaroundi,"<p> RP Nº 86, Potrero 2 Grande.</p>",Corrientes,-28.01889,-58.05301,74.0,17.0,6.0,2010.0,2435146,Puma yagouaroundi,Jaguarondi Jaguarundi Yaguarundi
5,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma yagouaroundi,"<p>RP Nº 86, Potrero Nº 1</p>",Corrientes,-28.03358,-58.09678,69.0,12.0,4.0,2010.0,2435146,Puma yagouaroundi,Jaguarondi Jaguarundi Yaguarundi
6,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma yagouaroundi,"<p>Borde del Estero Santa Lucía, potrero 5</p>",Corrientes,-28.01706,-58.00131,72.0,27.0,9.0,2007.0,2435146,Puma yagouaroundi,Jaguarondi Jaguarundi Yaguarundi
7,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma yagouaroundi,"<p>Potrero 3, pastizal</p>",Corrientes,-28.0382,-58.1176,70.0,19.0,9.0,2006.0,2435146,Puma yagouaroundi,Jaguarondi Jaguarundi Yaguarundi
8,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma yagouaroundi,<p>Pastizal potrero 14</p>,Corrientes,-28.0491,-58.12297,68.0,3.0,12.0,2007.0,2435146,Puma yagouaroundi,Jaguarondi Jaguarundi Yaguarundi
9,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma yagouaroundi,<p>Picada del potrero 6</p>,Corrientes,-27.99967,-58.01706,71.0,30.0,8.0,2007.0,2435146,Puma yagouaroundi,Jaguarondi Jaguarundi Yaguarundi
